Handle    	Owner               	Type                	Memory    	Time Created                  
0x68400ef4	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:58:01         
0x89000ef7	sourcebans/sbpp_main	Timer               	-1        	12/12/2022 - 20:44:37         
0x07e00ef8	custom/AntiBhopCheat	Trie                	604       	12/12/2022 - 20:45:45         
0x6a500ef9	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:34:09         
0x97d00efa	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:54:23         
0x30000efb	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:59:37         
0x9d900efd	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:20         
0x61500eff	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:45:56         
0xc5200f00	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:40         
0xbd800f01	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:12:33         
0x36d00f02	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:50:24         
0x73400f03	custom/Leader.smx   	IBaseMenu           	1122      	12/12/2022 - 20:09:22         
0xc8600f04	custom/AntiBhopCheat	Trie                	604       	12/12/2022 - 20:45:45         
0x9fc00f05	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:38:47         
0x48c00f06	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:34         
0x0ed00f07	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:55:31         
0xf1400f09	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:58         
0xb4a00f0a	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:28:32         
0x21900f0b	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:43         
0x39200f0c	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:00:41         
0xad100f0d	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:54:17         
0x95000f0e	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:59         
0xe2900f10	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:53:33         
0x05100f11	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:38:40         
0x97200f13	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:54:31         
0x09500f14	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:05:26         
0x3ef00f15	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:54:54         
0xf1900f16	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:58         
0x62300f17	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:54:49         
0xec500f18	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:58         
0x3c100f19	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:22:31         
0xec400f1a	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:58         
0xb2c00f1b	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:54:36         
0xfed00f1d	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:03:31         
0x0d100f1f	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:13:38         
0xe8400f20	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:34:33         
0x22f00f21	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:02:18         
0xa5000f22	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:55:11         
0x15400f23	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:52         
0xdab00f24	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:53:47         
0x39f00f25	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:54:13         
0x0f900f27	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:02:42         
0x60e00f28	custom/AntiBhopCheat	CellArray           	84        	12/12/2022 - 20:39:26         
0xabc00f29	nide_anticheat/ZEEli	Trie                	2332      	12/12/2022 - 20:38:25         
0x5e200f2a	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:56:25         
0xdd800f2c	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:07:12         
